Rank,Country,Stability(14%),Rights(15%),Health(14%),Safety(14%),Climate(14%),Costs(15%),Popularity(14%),Total
63,Montenegro,50,52,68,85,53,61,24,56
64,Tunisia,38,49,60,82,79,47,39,56
65,Peru,55,46,54,84,70,50,34,56
66,Samoa,76,63,50,83,46,58,14,56
67,Turkey,31,38,64,87,62,59,50,56
68,Ecuador,61,36,60,88,57,61,27,55
69,Albania,58,43,64,84,55,57,26,55
70,Bosnia and Herzegovina,47,38,69,86,49,70,26,55
71,Algeria,35,24,61,97,78,55,36,55
72,Armenia,36,51,70,93,50,57,23,54
73,Mongolia,59,44,60,72,44,70,31,54
74,Senegal,64,47,33,91,52,56,36,54
75,India,48,46,35,79,67,45,59,54
76,Jordan,50,48,60,77,52,63,27,54
77,Serbia,54,44,71,87,51,57,11,53
78,Indonesia,61,44,39,98,39,54,38,53
79,Mexico,46,37,54,52,83,34,69,53
80,Kazakhstan,54,36,69,82,40,60,33,53
81,Rwanda,68,48,27,72,60,58,37,53
82,Vietnam,67,35,54,76,52,51,33,52
83,Egypt,36,26,44,83,68,59,52,52
84,Bolivia,57,28,45,68,85,51,33,52
85,Ukraine,42,36,71,82,33,60,38,52
86,Madagascar,49,28,22,86,77,66,33,52
87,Moldova,51,41,67,84,40,62,15,51
88,South Africa,47,54,31,43,95,49,40,51
89,Russia,47,26,74,75,33,62,42,51
90,Ghana,48,51,26,95,56,42,38,51
91,Tanzania,51,34,21,57,88,56,46,50
92,Nepal,53,35,34,89,56,57,28,50
93,Dominican Republic,50,41,52,67,60,49,30,50
94,Malawi,42,38,20,78,82,50,40,50
95,Kenya,41,33,25,72,92,45,44,50
96,Pakistan,24,26,31,92,72,63,41,50
97,Timor-Leste,65,37,42,42,72,67,23,50
98,Brazil,37,45,63,60,65,44,35,50
99,Laos,68,19,30,76,48,73,34,50
100,Trinidad and Tobago,68,50,61,39,51,48,30,49
101,Suriname,44,43,50,73,35,62,38,49
102,Jamaica,55,52,51,37,73,47,18,48
103,Lebanon,10,25,65,76,71,41,46,47
104,Philippines,52,39,45,67,49,46,34,47
105,Gambia,47,38,21,79,57,58,31,47
106,Bangladesh,43,26,44,74,50,61,33,47
107,Kyrgyzstan,36,27,57,58,48,71,30,47
108,Guatemala,52,28,44,71,61,45,26,47
109,Belarus,37,28,82,81,22,40,37,46
110,Cambodia,56,19,28,68,52,66,35,46
111,Colombia,47,46,62,30,61,46,28,46
112,Gabon,48,25,32,52,44,46,73,46
113,Honduras,46,26,46,43,78,57,23,46
114,Uganda,48,30,14,62,71,57,37,45
115,Zambia,34,32,18,60,68,58,47,45
116,Azerbaijan,46,24,70,38,56,64,19,45
117,Iran,19,15,60,79,56,43,40,44
118,Burundi,31,11,9,62,76,66,54,44
119,Togo,49,29,12,75,50,54,39,44
120,Burma,31,24,32,63,50,73,33,44
121,Nicaragua,45,18,45,73,61,41,25,44
122,Tajikistan,51,13,53,58,48,51,34,44
123,Sierra Leone,38,34,6,69,43,64,48,43
124,Ivory Coast,47,36,11,58,52,57,37,43
125,Lesotho,36,40,12,24,89,57,37,42
126,El Salvador,59,39,49,21,66,50,14,42
127,Zimbabwe,29,14,13,74,91,37,36,42
128,Ethiopia,27,31,16,31,81,63,43,42
129,Angola,27,24,10,55,63,53,31,38
130,Afghanistan,28,9,20,19,58,63,63,37
131,Mozambique,36,26,10,4,80,53,36,35
132,Iraq,16,12,42,29,37,75,33,35
133,Cameroon,40,19,9,27,60,51,34,34
134,Chad,46,12,0,31,50,49,44,33
135,Nigeria,18,24,12,23,53,57,41,33
136,Sudan,8,11,18,55,40,66,24,32
137,Congo (Dem. Republic),32,7,6,10,54,60,36,29
